PROL;Normal cell ;Tumoral cell ;Adenoma cell;Pre-adenoma cell
0;1978.25;3.5;6.5;3.5
1;444;22.25;20.25;15.25
2;434.5;80.75;44.5;45.75
3;411;155.25;83;70.5
4;344.25;206.25;131.5;83.25
5;242.25;224;170.5;62.5
6;153;196.75;199.25;45.5
7;95.75;139.5;226;36.5
8;57.25;84.25;230;32
9;45.75;44.25;218.5;30.33
10;26.5;24.5;187.25;66.5
11;24.67;17.67;168.75;198
12;34;14.5;141;253
13;40;7;110;269
14;28;4;107.33;234
15;23;1;112.5;212
16;15;;75.5;136
17;13;;126;91
18;3;;87;51
19;;;68;28
20;;;32;15
21;;;29;5
22;;;12;1
23;;;7;
24;;;3;
25;;;3;
